length;amount
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;302848
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;151424
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;76145
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;68357
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;60570
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;52782
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;45168
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;37640
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;30112
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;22584
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;15056
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
2592000;2596
